,Last Date of Month,Log-nominal USD to CAN,Log-nominal USD to JPN,Log-nominal USD to SWE,Log-nominal USD to CHE,Log-nominal USD to GBR,Log-nominal USD to BEL,Log-nominal USD to FRA,Log-nominal USD to DEU,Log-nominal USD to ITA,Log-nominal USD to NLD,Nominal Diff USD to CAN,Nominal Diff USD to JPN,Nominal Diff USD to SWE,Nominal Diff USD to CHE,Nominal Diff USD to GBR,Nominal Diff USD to BEL,Nominal Diff USD to FRA,Nominal Diff USD to DEU,Nominal Diff USD to ITA,Nominal Diff USD to NLD,Real Chg to 12-M Avg USD to CAN,Real Chg to 12-M Avg USD to JPN,Real Chg to 12-M Avg USD to SWE,Real Chg to 12-M Avg USD to CHE,Real Chg to 12-M Avg USD to GBR,Real Chg to 12-M Avg USD to BEL,Real Chg to 12-M Avg USD to FRA,Real Chg to 12-M Avg USD to DEU,Real Chg to 12-M Avg USD to ITA,Real Chg to 12-M Avg USD to NLD,USA INFL,CAN INFL,JPN INFL,SWE INFL,CHE INFL,GBR INFL,BEL INFL,FRA INFL,DEU INFL,ITA INFL,NLD INFL,USA IR,CAN IR,JPN IR,SWE IR,CHE IR,GBR IR,BEL IR,FRA IR,DEU IR,ITA IR,NLD IR
0,1990-07-31,-0.14583044821153954,-5.004211371483626,-1.7828868907244566,-0.3310288769551468,0.5932163419348958,-3.518091133133655,-1.7033653184654596,-0.4931706885272699,-7.08978512656643,-0.6125876727015284,0.01373412145979891,0.030763302091823874,0.023695507395236737,0.02314293676546708,0.05654754821138708,0.025762548930023943,0.03028822935556308,0.02752605503398381,0.029526834477996644,0.026420061757768676,-0.0334489769680124,-0.1438326147786828,0.48000614426864274,-0.16000368785551056,-0.42092326180729706,0.22461396680537682,-0.006808143078279816,-0.08819784442749845,-0.034747245713341535,0.27326533026396904,0.3849115,0.3836317,-0.2,0.950303,0.04915778,0.0,0.3592537,0.02977077,0.0,0.3048781,0.3875969,8.1,13.675,5.168,12.58,8.892,14.9858,9.2,10.0501,8.26,11.59,8.27
1,1990-08-31,-0.13522994926010415,-4.99356305589294,-1.7536075180784765,-0.26819339586791857,0.6425378627334033,-3.474447843401748,-1.6616507838810346,-0.45120299978201817,-7.053646226660003,-0.5705274670120347,0.010600498951435389,0.010648315590685797,0.02927937264598013,0.06283548108722825,0.04932152079850749,0.04364328973190679,0.04171453458442498,0.04196768874525175,0.036138899906426936,0.042060205689493646,-0.46427076021244346,0.17942544442439878,-0.11507618243760098,0.39484587297997453,0.2471356632694673,-0.0210771705353876,0.1648566328414709,-0.0944064224918375,-0.0694979885697169,-0.17162806895441474,0.9202454,0.1273885,0.4,0.6868066,1.069048,0.9,0.5773672,0.6547619,0.3115265,0.6838906,0.2895752,7.97,13.256,5.168,12.99,8.7983,15.01664,9.15,10.1915,8.45,11.64,8.54
2,1990-09-30,-0.1469534129561634,-4.930440630433548,-1.7520306269990582,-0.26765792062085314,0.6309525769668276,-3.474447843401748,-1.659655628594718,-0.4511393115993389,-7.067209015572245,-0.570923047814571,-0.011723463696059255,0.06312242545939206,0.0015768910794182744,0.0005354752470654311,-0.011585285766575693,0.0,0.0019951552863166633,6.368818267926679e-05,-0.013562788912241608,-0.00039558080253632166,-0.12717884281356095,0.39010582216982304,0.10294928493493871,-0.1568587494728802,0.18652508308845217,0.1848178965773024,0.13795835838568604,-0.004963044963130048,-0.09657575930601858,0.2433188146948071,0.8358663,0.2544529,0.8,1.14005,0.4751494,0.9,0.9070035,0.7096393,0.310559,0.5283019,0.8662176,8.06,12.755,5.55,13.07,8.1938,14.95117,8.95,10.3466,8.47,10.82,8.51
3,1990-10-31,-0.14842000511827322,-4.864382565403529,-1.7300790819540175,-0.24826534008798945,0.665570412789711,-3.445852022202587,-1.6298677939456085,-0.4212072150567722,-7.040203585280365,-0.5411608235620636,-0.0014665921621098144,0.06605806503001865,0.02195154504504071,0.01939258053286369,0.03461783582288336,0.028595821199161264,0.02978783464910939,0.029932096542566677,0.027005430291880295,0.029762224252507408,0.6435120839932403,0.5818743518398106,0.026714360389833436,0.08786711210426423,0.13601162862639693,0.16284948079944073,0.04278424152817828,0.47767176042260423,0.3434305572238401,0.008746522567492754,0.6028636,0.8883249,1.1,0.6555676,0.6090468,0.8,0.6826715,0.4403993,0.7223942,0.8258258,0.2862595,8.06,12.578,5.55,14.67,7.981,14.06216,8.85,10.0364,8.6,11.49,8.51
4,1990-11-30,-0.15143270376020934,-4.861481553193039,-1.7161914573759407,-0.22864837194865467,0.6750850377415368,-3.4226326623822203,-1.6098378324554272,-0.3958860416611702,-7.018437608633939,-0.5164696661510757,-0.0030126986419361235,0.002901012210489995,0.013887624578076796,0.01961696813933478,0.009514624951825867,0.023219359820366492,0.020029961490181325,0.025321173395602026,0.021765976646425322,0.02469115741098793,0.3656278368513393,-0.41294940351633347,-0.030414768599601905,0.5696906056038444,-0.01902040475782174,-0.4161981197200353,-0.13748084745684253,-0.12430768555540983,0.29902132786157676,-0.09144526030850553,0.2247191,0.6289308,-0.2,0.3326774,0.8726749,0.3,-0.3616228,-0.1607717,-0.204918,0.5956813,-0.09514746,8.03,12.405,5.55,14.89,8.5682,13.68111,9.0,10.003,8.88,12.67,8.82
5,1990-12-31,-0.1486785923713628,-4.89701109846371,-1.7287841700665416,-0.2479532302227842,0.6533142800582219,-3.4343097331123578,-1.6271795939102576,-0.40426438753164545,-7.029317829930528,-0.5249651873197099,0.002754111388846542,-0.03552954527067076,-0.012592712690600916,-0.019304858274129533,-0.021770757683314934,-0.011677070730137462,-0.01734176145483035,-0.008378345870475257,-0.010880221296588388,-0.008495521168634168,-0.31239249195474766,-0.11352512611028409,-0.14138110026770834,-0.22792752146964138,0.03118526986173198,0.08562707278669723,0.12897002619350717,0.17466992721821706,-0.04993448864891725,0.08773945835790642,0.0,-0.125,-0.1,-0.1260916,-0.005325408,0.2,-0.124759,-0.07319573,0.1026694,0.2220577,-0.1904762,7.82,12.05,5.55,14.36,8.8229,13.8817,10.05,10.2737,9.21,13.72,9.4
6,1991-01-31,-0.14496577025018564,-4.895588012848886,-1.728908412410267,-0.2401186555201714,0.6599005867663097,-3.4368862240706624,-1.6341890598966387,-0.41151344664236783,-7.033841525157,-0.5315102149588233,0.003712822121177156,0.0014230856148245152,-0.0001242423437253226,0.007834574702612812,0.006586306708087797,-0.002576490958304589,-0.00700946598638108,-0.007249059110722378,-0.004523695226472668,-0.006545027639113465,1.2639078185437338,0.23207370865299204,1.1898671675406498,-0.07308883362296797,-0.4932312147557132,0.3324780824510847,0.11496707885746904,0.1130152786360265,-0.1860160372498445,-0.14382833881562052,0.5979073,2.628285,0.7,2.380062,0.8114071,0.0,0.749489,0.556695,0.6153846,0.625357,0.1377862,7.17,11.366,5.55,13.37,8.506,14.01087,9.86,10.2747,9.35,13.39,9.42
7,1991-02-28,-0.14401376013890477,-4.871647518643206,-1.7140861744995477,-0.2378351000571995,0.6750341251330183,-3.4170707308184456,-1.617366398756222,-0.39237986855950885,-7.0131867921195825,-0.5121647267672202,0.0009520101112808765,0.023940494205679563,0.014822237910719238,0.0022835554629719035,0.01513353836670861,0.019815493252216765,0.01682266114041675,0.019133578082858982,0.020654733037417827,0.01934548819160309,-0.732312552552087,-0.28332180865793877,1.2100201111592377,0.4983846978761856,0.3125279611471683,0.12977999851537625,0.12278089543148418,0.16277673235166518,0.3458301236161203,0.19439830291469762,0.1485884,0.0,-0.3,2.77689,0.9940518,0.4,0.3381425,0.2622378,0.4373178,0.7736944,0.09881423,6.52,10.52,5.55,12.05,7.9656,13.29532,9.65,9.7937,9.08,13.52,9.1
8,1991-03-31,-0.14600329411984297,-4.922799577432018,-1.776324290727647,-0.3305978734286126,0.599605436151581,-3.5028510353886553,-1.7022358482854525,-0.47759970586736356,-7.091708836671216,-0.5974069082791095,-0.0019895339809382073,-0.05115205878881213,-0.06223811622809938,-0.09276277337141309,-0.07542868898143729,-0.08578030457020969,-0.08486944952923059,-0.0852198373078547,-0.07852204455163392,-0.08524218151188923,-0.48328165261686523,0.3237986922093521,-1.3656474315151599,-0.5026017704266181,0.30467862013461133,-0.5402969052960676,-0.048097379306014876,-0.2514162655109502,0.021983447978049853,0.4813513317226083,0.148368,0.3658537,0.5,0.359952,0.01556794,0.5,-0.4156369,0.1888986,0.0,0.5758157,0.6910168,6.45,9.9575,5.55,12.1,8.3031,12.4628,9.37,9.4259,9.09,12.64,9.13
9,1991-04-30,-0.14280079863167128,-4.920803215392602,-1.8106629996472874,-0.3645736667320877,0.559444344668437,-3.555919326857706,-1.749895265129356,-0.5322152264444613,-7.140112256038258,-0.6515957534017102,0.003202495488171697,0.001996362039416333,-0.034338708919640304,-0.03397579330347511,-0.04016109148314406,-0.05306829146905079,-0.04765941684390351,-0.05461552057709773,-0.048403419367041955,-0.05418884512260069,-0.12025934766819826,0.31783362176333974,-0.72299157802246,-0.22983623332612113,1.0483031093507584,-0.00031970916943713235,-0.007175827739012375,0.07990624051264994,-0.25360666109523944,-0.2622374205856969,0.1481481,0.0,0.6,0.5490613,0.2400826,2.1,0.05640158,0.3045685,0.4354136,0.3816794,0.09803922,6.06,9.7075,5.55,12.27,8.4048,12.01492,9.3,9.3466,9.18,12.04,9.19
