,Last Date of Month,Returns_JPN,Returns_SWE,Returns_CHE,Returns_GBR,Returns_BEL,Returns_FRA,Returns_DEU,Returns_ITA,Returns_NLD,Portfolio_Returns
0,2012-07-31,-4.090562769580078,-1.737711651802063,-0.061365732049942015,0.3775496824398041,-0.191548115940094,-0.22911078426361084,-0.3615606794071198,-0.2361541757297516,-0.31772855612754825,-0.760910309162267
1,2012-08-31,-4.202767731738281,-1.799032164955139,-0.06360736241340637,0.4093457320636749,-0.21969908203983307,-0.19648487594032288,-0.28627608444595337,-0.1760544898738861,-0.34099556233787537,-0.7639524024090024
2,2012-09-30,-4.148682682299805,-1.8444611864089966,-0.020731724071073532,0.3593220368358612,-0.20345149723339082,-0.1839229741458893,-0.3063378312950134,-0.2152768650417328,-0.27564626721191404,-0.7599098878746616
3,2012-10-31,-4.066639335473633,-1.8261486959457398,-0.00158175351023674,0.33834290951042173,-0.24331357987308502,-0.1764852097787857,-0.3234716794052124,-0.2912745615997314,-0.20098797889137268,-0.754617764996375
4,2012-11-30,-3.9814499705474855,-1.7411348159790039,-0.08048582870960236,0.4215686168334961,-0.21724515604496003,-0.21432731496810914,-0.2500383053970337,-0.22452772604942323,-0.2730826531600952,-0.7289692393358019
5,2012-12-31,-3.944467944256592,-1.706233058166504,-0.08642930226482391,0.4427203124095917,-0.17635145290374757,-0.23224620028018952,-0.25061302884101866,-0.2114991794395447,-0.3165638695526123,-0.7201870803661602
6,2013-01-31,-4.05083153694458,-1.7488602207183839,-0.05530663577914238,0.34877441970558165,-0.1389069955816269,-0.22230672352218628,-0.2830127131214142,-0.18602424375915527,-0.3252531241645813,-0.7401919748761654
7,2013-02-28,-3.900564189871216,-1.7043800855636597,-0.022637124754514695,0.3729080382740021,-0.16550342293643952,-0.20965967627429963,-0.2769105091896057,-0.3847702399101257,-0.24521968813800812,-0.7263040998182074
8,2013-03-31,-4.070846968078613,-1.833304574584961,0.015041102415323257,0.4651742757045746,-0.2554234080657959,-0.22830132773971556,-0.2837872915611267,-0.42152462533569335,-0.18068311742401122,-0.75485065940778
9,2013-04-30,-4.125462521282959,-1.8045036268234254,-0.03731079956889152,0.4488844490688324,-0.1644046260251999,-0.2190424604549408,-0.26360331012153626,-0.28635830713653565,-0.2592478795185089,-0.7456721202070183
10,2013-05-31,-3.965399731365967,-1.7157435390472413,-0.04886376760336876,0.367438631936264,-0.1816117511148453,-0.2168154166097641,-0.28833742896270753,-0.2789497272129059,-0.26388363996696473,-0.7324629299941667
11,2013-06-30,-4.047736498181153,-1.7641882703781129,-0.020091850465536118,0.38867300864753723,-0.21423617153453828,-0.2573024198322296,-0.33437912314224244,-0.31882526128578187,-0.28950376956748963,-0.7619544839710606
12,2013-07-31,-3.996241089706421,-1.7269630435943604,-0.002269688981771469,0.4172498138671875,-0.18796350978755952,-0.24826220594787599,-0.35538236223602293,-0.29944441639328,-0.2682295533313751,-0.7408340062346088
13,2013-08-31,-4.12793489654541,-1.7598391443252563,-0.015546425825910568,0.4442406472290039,-0.20297098587417603,-0.23480180333518982,-0.305210713848114,-0.3017483396377563,-0.2977130455818176,-0.7557249675271807
14,2013-09-30,-4.088387794189453,-1.796407954978943,0.002416740709543228,0.3913404860221863,-0.187835622341156,-0.18468858650398254,-0.301971900970459,-0.28674792102050783,-0.2719176893539429,-0.7471333602918572
15,2013-10-31,-3.945059835205078,-1.735739930152893,0.0193343880372715,0.39331287313575747,-0.23884025481510163,-0.19574573901462555,-0.3466902252750397,-0.37461190191078186,-0.22089384761619568,-0.7383260525351873
16,2013-11-30,-3.8751216659545897,-1.6770927743911743,-0.026986387127637863,0.43179115651664735,-0.19931320198440552,-0.19690705188179017,-0.33949367054367063,-0.3455377007331848,-0.26517773517036436,-0.72153767014113
17,2013-12-31,-3.8856538398742675,-1.7006456296920776,-0.01508240265250206,0.4704490804172516,-0.20121849080085755,-0.20382562776565552,-0.32147583862304685,-0.33268106480598447,-0.28011870881080625,-0.7189169469564384
